#separator:Tab
#html:true
#deck:🕉️ Vedanta Glossary
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vedanta:ajñā	<center><big>अज्ञा</big></center>	<b>ajñā</b><br><br>Order, command.
vedanta:ajñāta	<center><big>अज्ञात</big></center>	<b>ajñāta</b><br><br>Unknown; unexpected.
vedanta:ājyam	<center><big>आज्यम्</big></center>	<b>ājyam</b><br><br>Clarified butter.
vedanta:akam	<center><big>अकम्</big></center>	<b>akam</b><br><br>Problem; sorrow, duḥkam .
vedanta:akāmahata	<center><big>अकामहत</big></center>	<b>akāmahata</b><br><br>Free from desire, not afflicted by desire; calm.
vedanta:ākāṅkṣā	<center><big>आकाङ्क्षा</big></center>	<b>ākāṅkṣā</b><br><br>Expectancy; desiring; looking at; intention.
vedanta:ākāraḥ	<center><big>आकारः</big></center>	<b>ākāraḥ</b><br><br>Form; appearance; expression.
vedanta:akārpaṇyam	<center><big>अकार्पण्यम्</big></center>	<b>akārpaṇyam</b><br><br>Immaterial; non-productive.
vedanta:akartā	<center><big>अकर्ता</big></center>	<b>akartā</b><br><br>The non-doer; jīvanmuktaḥ , jñānī .
vedanta:akārya	<center><big>अकार्य</big></center>	<b>akārya</b><br><br>Improper; not fit to be done.
vedanta:ākāśaḥ	<center><big>आकाशः</big></center>	<b>ākāśaḥ</b><br><br>Space.
vedanta:akasmād	<center><big>अकस्माद्</big></center>	<b>akasmād</b><br><br>ind . Suddenly; without cause.
vedanta:akathya	<center><big>अकथ्य</big></center>	<b>akathya</b><br><br>Not told, cannot be expressed in words, not fit to be mentioned.
vedanta:akhaṇḍa	<center><big>अखण्ड</big></center>	<b>akhaṇḍa</b><br><br>Division free; whole, complete.
vedanta:akhila	<center><big>अखिल</big></center>	<b>akhila</b><br><br>Whole, entire, complete.
vedanta:ākhyā	<center><big>आख्या</big></center>	<b>ākhyā</b><br><br>Name; appearance.
vedanta:ākhyānam	<center><big>आख्यानम्</big></center>	<b>ākhyānam</b><br><br>Story; communication.
vedanta:ākhyāyikā	<center><big>आख्यायिका</big></center>	<b>ākhyāyikā</b><br><br>Narrative story.
vedanta:ākṛtiḥ	<center><big>आकृतिः</big></center>	<b>ākṛtiḥ</b><br><br>Form, shape, appearance.
vedanta:akṣam	<center><big>अक्षम्</big></center>	<b>akṣam</b><br><br>A organ of sense.
vedanta:akṣara	<center><big>अक्षर</big></center>	<b>akṣara</b><br><br>Indestructible; undying; imperishable; immutable.
vedanta:akṣaram	<center><big>अक्षरम्</big></center>	<b>akṣaram</b><br><br>A letter of the alphabet; syllable.
vedanta:akṣaya	<center><big>अक्षय</big></center>	<b>akṣaya</b><br><br>Imperishable; undecaying.
vedanta:ākṣepaḥ	<center><big>आक्षेपः</big></center>	<b>ākṣepaḥ</b><br><br>Objection, doubt; throwing off; censure, blame.
vedanta:akṣin	<center><big>अक्षिन्</big></center>	<b>akṣin</b><br><br>The eye; one who sees.
vedanta:akṣita	<center><big>अक्षित</big></center>	<b>akṣita</b><br><br>Permanent; undecaying; unfailing.
vedanta:alam	<center><big>अलम्</big></center>	<b>alam</b><br><br>indeclinable Enough.
vedanta:ālambanam	<center><big>आलम्बनम्</big></center>	<b>ālambanam</b><br><br>Symbol; support; something loaded with something el se.
vedanta:alambuddhiḥ	<center><big>अलम्बुद्धिः</big></center>	<b>alambuddhiḥ</b><br><br>False notion; sense of satisfaction.
vedanta:alaṃkāraḥ	<center><big>अलंकारः</big></center>	<b>alaṃkāraḥ</b><br><br>Decoration, ornament; act of decorating.
vedanta:alāta	<center><big>अलात</big></center>	<b>alāta</b><br><br>Fire-brand, torch.
vedanta:ālocanam	<center><big>आलोचनम्</big></center>	<b>ālocanam</b><br><br>Inquiry; analysis; perceiving.
vedanta:ālokaḥ	<center><big>आलोकः</big></center>	<b>ālokaḥ</b><br><br>Light; seeing; appearance.
vedanta:alpa	<center><big>अल्प</big></center>	<b>alpa</b><br><br>Small, little.
vedanta:aluptadṛk	<center><big>अलुप्तदृक्</big></center>	<b>aluptadṛk</b><br><br>Unblinking, always awake.
vedanta:amanībhāvaḥ	<center><big>अमनीभावः</big></center>	<b>amanībhāvaḥ</b><br><br>Free from mind being seen as an impediment to self- knowledge.
