#separator:Tab
#html:true
#deck:🕉️ Sanskrit Alphabet
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
a	<center><big><big><big><big><big>अ</big></big></big></big></big></center>	<center><big><big><b>a</b></big></big><br>[sound:a.mp3]</center><hr><b>Properties</b><ul><li>Vowel</li><li>Simple</li><li>Short</li></ul><hr><b>Pronunciation</b><br>Pronounced like:<br>f<b>a</b>r, b<b>a</b>r, st<b>a</b>r<br><br>Not like:<br>s<i>a</i>d, b<i>a</i>d, c<i>a</i>t, d<i>a</i>te<br><br><small>mouth should be open but not too much - not wide open.</small>
pa	<center><big><big><big><big><big>प</big></big></big></big></big></center>	<center><big><big><b>pa</b></big></big><br>[sound:pa.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Unvoiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "p" in:<br>park, party, partake.
pha	<center><big><big><big><big><big>फ</big></big></big></big></big></center>	<center><big><big><b>pha</b></big></big><br>[sound:pha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Unvoiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "ph" in "uphold".<br>Tips: try saying "uphold upheld" a few times and then say "pha" a few times. Do this until you pronounce the "pha" just like the "ph" in "uphold" <br><br>very important! this is not the sound "f" . It should not be pronounced like the sound "f" as the "ph" in the word phone.
ba	<center><big><big><big><big><big>ब</big></big></big></big></big></center>	<center><big><big><b>ba</b></big></big><br>[sound:ba.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Unaspirated</li><li>Voiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "b" in:<br>but, bake, been.
bha	<center><big><big><big><big><big>भ</big></big></big></big></big></center>	<center><big><big><b>bha</b></big></big><br>[sound:bha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Aspirated</li><li>Voiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like like the "b" in "bark", but with extra expulssion of  air right after it - before the vowel.<br>Tips: try saying "snob" and "house" one after the other with no gap. The last sound of "snob" and the first sound of "house" will combine to the exact sound of "bha".
ma	<center><big><big><big><big><big>म</big></big></big></big></big></center>	<center><big><big><b>ma</b></big></big><br>[sound:ma.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Touch</li><li>Nasal</li><li>Unaspirated</li><li>Voiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "m" in:<br>mark, might, my.
ya	<center><big><big><big><big><big>य</big></big></big></big></big></center>	<center><big><big><b>ya</b></big></big><br>[sound:ya.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Semivowel</li><li>Unaspirated</li><li>Voiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "y" in:<br>yacht, yet, you.
ra	<center><big><big><big><big><big>र</big></big></big></big></big></center>	<center><big><big><b>ra</b></big></big><br>[sound:ra.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Semivowel</li><li>Unaspirated</li><li>Voiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is a bit different than the "r" in English.<br><br>It is pronounced by  the tongue curving upwards to touch the upper palate.<br>
la	<center><big><big><big><big><big>ल</big></big></big></big></big></center>	<center><big><big><b>la</b></big></big><br>[sound:la.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Semivowel</li><li>Unaspirated</li><li>Voiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "L" in:<br>like, lake, link.
va	<center><big><big><big><big><big>व</big></big></big></big></big></center>	<center><big><big><b>va</b></big></big><br>[sound:va.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Semivowel</li><li>Unaspirated</li><li>Voiced</li><li>Labial (lips)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "v" in most English words but in many cases it tends to sound a bit more towards the sound of "w" in English.<br><br> it is somewhere in between, so sometimes it will sound more like the "v" in victory, and sometimes more like the "w" in wait.
śa	<center><big><big><big><big><big>श</big></big></big></big></big></center>	<center><big><big><b>śa</b></big></big><br>[sound:sha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Sibilant</li><li>Aspirated</li><li>Unvoiced</li><li>Palatal (palate)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "sh" in:<br>shoe, show, shine.
ṣa	<center><big><big><big><big><big>ष</big></big></big></big></big></center>	<center><big><big><b>ṣa</b></big></big><br>[sound:s2a.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Sibilant</li><li>Aspirated</li><li>Unvoiced</li><li>Retroflex (roof of mouth)</li></ul><hr><b>Pronunciation</b><br>This is a retroflex sound which is a bit different than the "sh" in English.<br><br>It is pronounced by the tongue curving upwards to touch the upper palate.
sa	<center><big><big><big><big><big>स</big></big></big></big></big></center>	<center><big><big><b>sa</b></big></big><br>[sound:sa.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Sibilant</li><li>Aspirated</li><li>Unvoiced</li><li>Dental (teeth)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "s" in:<br>side, saga, sight
ha	<center><big><big><big><big><big>ह</big></big></big></big></big></center>	<center><big><big><b>ha</b></big></big><br>[sound:ha.mp3]</center><hr><b>Properties</b><ul><li>Consonant</li><li>Aspirated</li><li>Voiced</li><li>Guttural (throat)</li></ul><hr><b>Pronunciation</b><br>Pronounced like the "h" in:<br>high, house, hot.
kṣa	<center><big><big><big><big><big>क्ष</big></big></big></big></big></center>	<center><big><big><b>kṣa</b></big></big><br>[sound:kSha.mp3]</center><hr><b>Properties</b><ul><li>Combination letter</li></ul>
jña	<center><big><big><big><big><big>ज्ञ</big></big></big></big></big></center>	<center><big><big><b>jña</b></big></big><br>[sound:jJNa.mp3]</center><hr><b>Properties</b><ul><li>Combination letter</li></ul>
